Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
321,Mullach nan Coirean,,Fort William to Loch Treig & Loch Leven,4A,939.3,3082,56.749866,-5.072446,x,
301,Na Gruagaichean,,Fort William to Loch Treig & Loch Leven,4A,1054.3,3459,56.743699,-4.939851,x,
1023,Ruadh Stac Mor,,Loch Maree to Loch Broom,14A,918.7,3014,57.726781,-5.329288,,
867,Sail Chaorainn,,Glen Affric to Glen Moriston,11B,999.2,3278,57.191631,-5.091183,x,
839,Saileag,,Loch Duich to Cannich,11A,956,3136,57.181264,-5.281331,x,
103,Schiehallion,,Loch Rannoch to Glen Lyon,2A,1083.3,3554,56.666942,-4.10023,x,
1069,Seana Bhraigh,,Loch Broom to Strath Oykel,15A,926,3038,57.84733,-4.89662,x,
384,Sgairneach Mhor,,Loch Ericht to Glen Tromie & Glen Garry,5A,991,3251,56.828447,-4.297792,x,
165,Sgiath Chuil,,Glen Lyon to Glen Dochart & Loch Tay,2B,920.1,3019,56.453157,-4.495638,x,
523,Sgor an Lochain Uaine,,Cairngorms,8A,1258,4127,57.058376,-3.725897,x,
361,Sgor Gaibhre,,Loch Treig to Loch Ericht,4B,955,3133,56.772553,-4.546498,x,
548,Sgor Gaoith,,Cairngorms,8A,1116,3661,57.068552,-3.810856,x,
981,Sgorr Ruadh,,Applecross to Achnasheen,13B,960.7,3152,57.498622,-5.407747,x,
821,Sgurr a' Bhealaich Dheirg,,Loch Duich to Cannich,11A,1036,3399,57.177825,-5.252177,x,
885,Sgurr a' Chaorachain,,Kyle of Lochalsh to Garve,12A,1053,3455,57.452501,-5.189284,,
884,Sgurr a' Choire Ghlais,,Kyle of Lochalsh to Garve,12A,1083.7,3555,57.444288,-4.903757,x,
1243,Sgurr a' Ghreadaidh,,Minginish and the Cuillin Hills,17B,972.1,3189,57.227313,-6.234425,x,
1259,Sgurr a' Mhadaidh,,Minginish and the Cuillin Hills,17B,918,3012,57.230868,-6.231947,x,
295,Sgurr a' Mhaim,,Fort William to Loch Treig & Loch Leven,4A,1099,3606,56.75592,-5.00369,x,
684,Sgurr a' Mhaoraich,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1026.6,3368,57.105673,-5.330394,x,
1239,Sgurr Alasdair,,Minginish and the Cuillin Hills,17B,992,3255,57.206589,-6.224143,x,
687,Sgurr an Doire Leathain,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1010,3314,57.13687,-5.281531,x,
690,Sgurr an Lochain,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1004,3294,57.141288,-5.297466,x,
1009,Sgurr Ban,,Loch Maree to Loch Broom,14A,989,3245,57.718538,-5.265903,,
1042,Sgurr Breac,,The Fannaichs,14B,999.6,3280,57.691943,-5.09131,x,
892,Sgurr Choinnich,,Kyle of Lochalsh to Garve,12A,999.3,3279,57.451026,-5.207916,,
296,Sgurr Choinnich Mor,,Fort William to Loch Treig & Loch Leven,4A,1094,3589,56.80043,-4.90396,x,
1240,Sgurr Dearg - Inaccessible Pinnacle,,Minginish and the Cuillin Hills,17B,985.8,3234,57.213261,-6.234818,x,
1250,Sgurr Dubh Mor,,Minginish and the Cuillin Hills,17B,944.1,3097,57.204869,-6.211385,x,
305,Sgurr Eilde Mor,,Fort William to Loch Treig & Loch Leven,4A,1010,3314,56.750006,-4.895435,x,
886,Sgurr Fhuar-thuill,,Kyle of Lochalsh to Garve,12A,1049.2,3442,57.44968,-4.94178,x,
815,Sgurr Fhuaran,,Loch Duich to Cannich,11A,1068.8,3507,57.19615,-5.34765,x,
1248,Sgurr Mhic Choinnich,,Minginish and the Cuillin Hills,17B,948.1,3111,57.208956,-6.224099,x,
733,Sgurr Mor,,Knoydart to Glen Kingie,10B,1003,3291,57.028446,-5.354206,x,
1040,Sgurr Mor,,The Fannaichs,14B,1108.9,3638,57.700133,-5.016765,x,
1245,Sgurr na Banachdich,,Minginish and the Cuillin Hills,17B,965,3166,57.220972,-6.241638,x,
827,Sgurr na Carnach,,Loch Duich to Cannich,11A,1002,3287,57.189034,-5.349224,x,
730,Sgurr na Ciche,,Knoydart to Glen Kingie,10B,1040.2,3413,57.013451,-5.456871,,
825,Sgurr na Ciste Duibhe,,Loch Duich to Cannich,11A,1027,3369,57.180924,-5.337134,x,
199,Sgurr na h-Ulaidh,,Loch Linnhe to Loch Etive,3B,994,3261,56.619796,-5.08006,x,
926,Sgurr na Lapaich,,Killilan to Inverness,12B,1151.9,3779,57.369311,-5.059726,x,
894,Sgurr na Ruaidhe,,Kyle of Lochalsh to Garve,12A,993,3258,57.441497,-4.852465,,
701,Sgurr na Sgine,,Glen Shiel to Loch Hourn and Loch Quoich,10A,946,3104,57.147088,-5.396666,x,
805,Sgurr nan Ceathramhnan,,Loch Duich to Cannich,11A,1149.7,3772,57.254911,-5.222732,,
1041,Sgurr nan Clach Geala,,The Fannaichs,14B,1093,3586,57.696278,-5.048237,x,
736,Sgurr nan Coireachan,,Knoydart to Glen Kingie,10B,953.8,3129,57.007158,-5.40544,x,
776,Sgurr nan Coireachan,,Mallaig to Fort William,10D,956.3,3137,56.935728,-5.448551,x,
863,Sgurr nan Conbhairean,,Glen Affric to Glen Moriston,11B,1109,3638,57.177622,-5.095407,x,
1051,Sgurr nan Each,,The Fannaichs,14B,923,3028,57.681008,-5.04635,x,
1258,Sgurr nan Eag,,Minginish and the Cuillin Hills,17B,926.3,3039,57.19581,-6.211264,x,
1246,Sgurr nan Gillean,,Minginish and the Cuillin Hills,17B,966.1,3170,57.248215,-6.193159,x,
774,Sgurr Thuilm,,Mallaig to Fort William,10D,963,3159,56.937056,-5.389207,x,
1010,Slioch,,Loch Maree to Loch Broom,14A,981,3219,57.667148,-5.347061,x,
691,Spidean Mialach,,Glen Shiel to Loch Hourn and Loch Quoich,10A,996,3268,57.088964,-5.193614,x,
758,Sron a' Choire Ghairbh,,Loch Arkaig to Glen Moriston,10C,936.2,3072,57.00784,-4.928747,x,
292,Stob a' Choire Mheadhoin,,Fort William to Loch Treig & Loch Leven,4A,1105,3625,56.823684,-4.760199,,
255,Stob a' Choire Odhair,,Glen Etive to Glen Lochy,3C,945,3100,56.573308,-4.838302,x,
309,Stob Ban,,Fort William to Loch Treig & Loch Leven,4A,999.7,3280,56.743706,-5.030328,x,
